#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1884.9999999988333,-1358.2751543587403,4067.3652612571536,1273.9364551832566,66.2
1889.9999999988288,-1447.7310061725611,4083.835431684209,1279.0950650405925,66.2
1894.9999999988243,-1585.54990334479,3990.131241692853,1249.7460452290525,66.2
1899.9999999988197,-1872.2519775741243,3632.9778710290425,1137.8823030384685,66.2
1904.9999999988152,-1983.0405174806624,3814.414162413067,1194.7098292232993,66.2
1909.9999999988106,-2069.327296937946,3910.861827280332,1224.9181307648553,66.2
1914.999999998806,-2249.244368209255,3364.4510638811676,1053.7772210390447,66.2
1919.9999999988015,-2272.299600642197,2813.9051192620236,881.3411342719439,66.2
1924.999999998797,-2281.296460070518,2602.66519229447,815.178833502566,66.2
1929.9999999987924,-2352.1617377523485,2391.514994804475,749.0446368362681,66.2
1934.9999999987879,-2372.8328942491753,2497.686216047358,782.2984462546115,66.2
1939.9999999987833,-2388.206943949602,2230.977557861539,698.7628253423877,66.2
1944.9999999987788,-2390.878653449605,2253.9256439151663,705.9503783460151,66.2
1949.9999999987742,-2427.374783504027,2638.471380046156,826.3936629973506,66.2
1954.9999999987697,-2503.700572674058,2732.597258194079,855.8747594434844,66.2
1959.9999999987651,-2409.071550862697,2437.8722220318828,763.5641495755679,66.2
1964.9999999987606,-2446.1821078163734,2227.61973948842,697.7111255415002,66.2
1969.999999998756,-2489.126880787108,2182.863366443206,683.6930151526497,66.2
1974.9999999987515,-2562.283565792805,2812.1403482656483,880.7883916577638,66.2
1979.999999998747,-2574.755402859781,3675.032649473806,1151.0542489873014,66.2
1984.9999999987424,-2449.449697707463,3578.480346421205,1120.8131737973656,66.2
1989.9999999987378,-2524.1119216968177,3318.471123261533,1039.3758779581901,66.2
1994.9999999987333,-2509.402815897051,3129.26807757596,980.1157324220953,66.2
1999.9999999987288,-2501.418583594445,2602.6461054574256,815.1728553284993,66.2
2004.9999999987242,-2533.2818027616117,2739.1348408719855,857.9223908626468,66.2
2009.9999999987197,-2534.143534263147,3803.8892638863836,1191.4133335660338,66.2
2014.999999998715,-2554.957793351162,3005.7245918447547,941.4207689349092,66.2
2019.9999999987106,-2559.2090395361047,2091.1455213761706,654.9661369608366,66.2
2024.999999998706,-2573.997593880572,1467.3486267102537,459.5871744873753,66.2
2029.9999999987015,-2625.3089376627017,1231.6393030370548,385.76083213397993,66.2
2034.999999998697,-2598.839324808105,1145.3967151660765,358.7488551854857,66.2
2039.9999999986924,-2639.823309955065,1528.7981937089014,478.83374776675845,66.2
2044.9999999986878,-2622.1185321403414,1694.3087669586873,530.6731915928609,66.2
2049.999999998692,-2619.023731872202,1940.3341931748582,607.730632768406,66.2
2054.9999999987103,-2656.4008507388767,2131.457505544668,667.5922236076863,66.2
2059.9999999987285,-2586.215588880579,2132.5202140735787,667.9250737574156,66.2
2064.9999999987467,-2599.1221922919904,1860.3797978919497,582.6881759541028,66.2
2069.999999998765,-2622.6908924280197,1472.500618001896,461.20082585666034,66.2
2074.999999998783,-2628.321963825165,1545.5240556008232,484.0724425580627,66.2
2079.9999999988013,-2688.9983598200724,3776.0714588833625,1182.7005395039694,66.2
2084.9999999988195,-2613.346326246537,8237.85989624461,2580.173984982724,66.2
2089.9999999988377,-2711.333590262398,8986.894581728815,2814.778582982393,66.2
2094.999999998856,-2668.473130332169,8962.1259692746,2807.0208242558074,66.2
2099.999999998874,-2640.593765649616,9100.477641481153,2850.3538488401337,66.2
2104.9999999988922,-2695.0336443599144,9042.980990190048,2832.345365356145,66.2
2109.9999999989104,-2547.7845465121823,11586.418306174084,3628.9734796711195,66.2
2114.9999999989286,-2598.0959816453387,15653.20327055584,4902.728180500658,66.2
2119.999999998947,-2455.4395469734404,16026.439429609616,5019.629200908207,66.2
2124.999999998965,-2572.5930242978716,17240.387639135977,5399.8490187718435,66.2
2129.999999998983,-2556.788545368109,9858.317606045004,3087.7163417661504,66.2
2134.9999999990014,-2612.2631223322096,4763.330092818706,1491.9190836176892,66.2
2139.9999999990196,-2512.8689306618508,2928.085223314493,917.1033999318762,66.2
2144.9999999990378,-2571.6262612747187,3162.130689833948,990.4086068208563,66.2
2149.999999999056,-2613.2413162203593,3670.4892411777423,1149.6312114464467,66.2
2154.999999999074,-2489.592157896077,3493.9170694126296,1094.327172557908,66.2
2159.9999999990923,-2550.9442363888206,3142.0504139476857,984.1192785116157,66.2
2164.9999999991105,-2577.5109168333406,3405.4444161881843,1066.616718494933,66.2
2169.9999999991287,-2525.07008651647,3441.0915106268562,1077.7817184912078,66.2
2174.999999999147,-2593.6630196262618,3363.937407465165,1053.6163390941606,66.2
2179.999999999165,-2657.296098565413,3825.82937519156,1198.2851795466927,66.2
2184.9999999991833,-2589.161807992709,2454.0453479332036,768.6297223374282,66.2
2189.9999999992015,-2626.3451791781795,2061.037781354685,645.5361140509455,66.2
2194.9999999992197,-2575.0362420551633,1875.3398020097845,587.3737877423864,66.2
2199.999999999238,-2618.951929579908,1837.3925726984728,575.4883642095274,66.2
2204.999999999256,-2573.234637742385,3200.851438777189,1002.5363038636212,66.2
2209.999999999274,-2589.4851387706453,3129.3074771399906,980.128072730308,66.2
2214.9999999992924,-2570.8699196647644,3773.3657934251955,1181.853100033627,66.2
2219.9999999993106,-2596.527566591822,4277.460662772797,1339.740279985167,66.2
2224.999999999329,-2626.595698028933,4881.552550692546,1528.9474519182781,66.2
